ID,Nom,Adresse,Latitude,Longitude
583a8f08-36c5-454f-bade-bdc45dfe3147,"tennis club de sissonne","19 Rue du 8 Mai 1945; 02150 Sissonne; France",49.568624,3.902571
f184f188-a351-409f-a8bb-392d28498682,"TENNIS CLUB DE ST AFFRIQUE","40 Bd de la Capelle; 12400 Saint-Affrique",43.9542972,2.8908653
1deb2d2d-05bc-4410-9b35-0f6f5a1cb0e2,"Tennis Club Dominicain","1 Av. Raymond Barre; L'Étang-Salé 97427; La Réunion",44.2972241,0.1144666
904b2b2f-c82e-460f-aab1-37451574ac56,"Tennis club gannat","47 Rue Jules Bertin; 03800 Gannat; France",46.0825297,3.1974507
5fbc9a73-fc43-471f-83ee-815d4a4248bc,"Tennis Club Joyeuse Laurac","Chem. du Berguier; 07110 Laurac-en-Vivarais; France",44.5091242,4.2908403
4c078471-5a57-43b3-a6f0-18aa100556d7,"Tennis club le briolet","Avenue du Stade; 11570 Cazilhac",43.1796333,2.3694855
7beb2812-8358-4722-be7f-18d923042e0b,"tennis club montfort l'amaury","3 Place Nickenich
78490 Montfort l’Amaury",48.7747644,1.8152158
6c907ef4-9d48-4ea9-9a24-71454c3a3e5f,"TENNIS CLUB PONTCHARRA","38530 Pontcharra; France",45.4317696,6.0206008
0d221746-90e1-4eed-a051-f20012bafeab,"Tennis Club Pouzauges","5 Rue Charles Largeteau; 85700 Pouzauges; France",46.777081,-0.843061
1dac6ef6-0b50-4960-a5b1-7c7df3110ee7,"Tennis club saint bonnet les oules","Stade; Lapra; 42330 Saint-Bonnet-les-Oules; France",45.5439729,4.3277946
9cad004e-b15c-422e-a218-0a4fa420ebd4,"Tennis Club Saint-Georges Charmes","Tennis Club Saint-Georges Charmes; Quartier Gare; 07800 Charmes-sur-Rhône; France",44.8621,4.83424
551b63f4-867c-4fee-93d8-78480c1c5ddb,"Tennis club satolas","225 Mnt des Lurons 217; 38290 Satolas-et-Bonce",45.681868,5.1203082
11af29ed-a44b-4270-a1d6-3fe536f918ca,"Tennis cluses scionzier","55 rue Paul Zen; Cluses 74300",46.0634172,6.5628779
a032fefd-9b76-436b-a05f-258f2b18bebd,"Tennis espira","Avenue du Clos d'en Cante; 66600 Espira-de-l'Agly",42.7710364,2.842545
d303ac4b-0de5-490a-b7f1-21a7d4ea0437,"TENNIS ET CYCLISME MEREVILLOIS","COMPLEXE MUNICIPAL MICHEL VERNIER; 54850",48.5968296,6.1325264
534abc74-29c5-4df3-b2d4-5c5faaf60242,"tennis geispolsheim","rue de l'ehn 67118; 67118 Geispolsheim",48.5180942,7.6852137
a546e093-d503-4bf1-9ad6-fc18d8648444,"Tennis grand Besancon","Route de Belfort; 25220 Thise; France",47.2836567,6.0790996
a9b8bb6e-2cf4-4289-8007-eebb243147d4,"TENNIS PADEL LABOUHEYRE","Rue de la Grande Lande; 40210 Labouheyre; France",44.1905865,-0.917194
ea0712cd-b30e-4099-9939-2684927c8558,"Tennis Padel nezignan","1 Rue du 4 septembre; 34120; Nézignan-l'Évêque",43.4205793,3.4074475
917a3f40-e015-4b19-a689-367825a5d39d,"TENNIS PLUS BRISON ST INNOCENT","STADES DES BAUCHES; 73100 Brison-Saint-Innocent; France",45.7213,5.89004
d2a8328b-fc9e-4503-985a-c0e5fa279f2f,"tennis Saint-Rémy-sur-Avre","Saint-Rémy-sur-Avre",48.7628087,1.2405119
f9351e18-0641-4380-80d4-15d7bdd53037,"Terrain Le Padel Français Boën-sur-Lignon","Chem. de Giraud; 42130 Boën-sur-Lignon; France",45.747352,4.0422069
0f4a0a03-f854-4297-8964-1a94e2028c0f,"Terrain municipal argèles sur mer","Argeles sur Mer",42.5476734,3.0253613
ecc6f44b-5c73-4413-82e9-a83d6aee800f,"TOAC Padel","20 Chem. de Garric; 31200 Toulouse; France",43.6391219,1.4486548
bf994ce0-733f-4bf8-a256-0aa6b693d3dc,"Trinquet Village by POZA","8 Quai Saint-Exupéry; 75016 Paris",48.8379027,2.2651129
43b2c310-fd55-498d-9f41-1a20458b283c,"U.S.Y LA QUEUE LEZ YVELINES","115 D199; 78940 La Queue-lez-Yvelines; France",48.810356,1.7665116
15e3a055-2bff-4fc9-9b77-a13c76c02660,"UCPA NANTES","9 Bd de Berlin; 44000 Nantes; France",47.2159925,-1.5325462
48097063-5f1f-45da-9ba7-a5d09ab68bed,"us talence","Stade Pierre-Paul Bernard; 23 Avenue de la Marne; 33400 Talence",44.8059703,-0.5892211
f9541b99-0c9e-4775-8a01-aa4a9f6251e8,"USPG Tennis Club","Tennis Court; Ruelle du Stade; Le Port 97420; La Réunion",44.2972241,0.1144666
0dbfbc97-69a9-4aef-b017-9d54517027c6,"Vercors Padel","180 Chem. des Côtes de Trellins; 38470 Vinay; France",45.2069846,5.4358048
d58b97a8-e191-46f7-99dc-02a78d4ecd35,"Vic en Bigorre","Vic en bigorre",43.3860159,0.0548805
4d5f8eef-df51-47cc-a22b-e81809c715d1,"Vindry Padel Club","Vindry Padel Club; 1583 Chem. de Grange Louis; 69490 Vindry-sur-Turdine; France",45.8655907,4.4890137
